Sample,Decade,State,Most Likely Population,Subpop 1,Subpop 2,Subpop 3,Subpop 4,Subpop 5
15A1_1,2010's,AR,5,0,0,0.079,0.1968,0.7242
15A10_1,2010's,AR,3,0,0,0.4474,0.414,0.1386
15A11_2,2010's,AR,3,0,0,0.5852,0.3676,0.0472
15A12_2,2010's,AR,5,0,0,0.0722,0.1874,0.7404
15A13_2,2010's,AR,3,0,0,0.5454,0.3867,0.0679
15A15_2,2010's,AR,4,0,0,0.4106,0.4179,0.1715
15A16_1,2010's,AR,5,0,0,0.104,0.2424,0.6535
15A17_1,2010's,AR,5,0,0,0.104,0.2424,0.6535
15A2_1,2010's,AR,5,0,0,0.0025,0.0166,0.9809
15A23_2,2010's,AR,5,0,0,0.0665,0.1706,0.7629
15A25_1,2010's,AR,5,0,0,0.0665,0.1706,0.7629
15A25_3,2010's,AR,3,0,0,0.656,0.3222,0.0218
15A27_1,2010's,AR,3,0,0,0.5092,0.4041,0.0867
15A29_1,2010's,AR,3,0,0,0.9776,0.0224,0
15A29_5,2010's,AR,3,0,0,0.5542,0.3768,0.069
15A3_1,2010's,AR,5,0,0,0.092,0.2207,0.6873
15A30_1,2010's,AR,5,0,0,0.1131,0.2448,0.642
15A4,2010's,AR,3,0,0,0.5964,0.3587,0.0449
15A5_2,2010's,AR,5,0,0,0.0722,0.1874,0.7404
15A6_3,2010's,AR,5,0,0,0.0956,0.2323,0.6721
15A7_3,2010's,AR,3,0,0,0.5894,0.3664,0.0442
15A7_4,2010's,AR,5,0,0,0.0956,0.2323,0.6721
15A8_1,2010's,AR,3,0,0,0.557,0.3782,0.0648
15A9_1,2010's,AR,3,0,0,0.5852,0.3676,0.0472
15L1_2,2010's,LA,3,0,0,0.5608,0.3784,0.0608
15L1_4,2010's,LA,3,0,0,0.5608,0.3784,0.0608
15L10_3,2010's,LA,5,0,0,0.0722,0.1874,0.7404
15L13_1,2010's,LA,3,0,0,0.5852,0.3676,0.0472
15L15_1,2010's,LA,5,0,0,0.104,0.2424,0.6535
15L15_5,2010's,LA,5,0,0,0.104,0.2424,0.6535
15L17_1,2010's,LA,3,0,0,0.6407,0.3281,0.0312
15L18_1,2010's,LA,3,0,0,0.4945,0.4121,0.0934
15L21_1,2010's,LA,3,0,0,0.5092,0.4041,0.0867
15L22_2,2010's,LA,4,0,0,0.4072,0.44,0.1528
15L22_3,2010's,LA,3,0,0,0.5667,0.3743,0.0591
15L24_1,2010's,LA,3,0,0,0.5608,0.3784,0.0608
15L24_3,2010's,LA,3,0,0,0.4307,0.4143,0.1551
15L26_1,2010's,LA,3,0,0,0.4307,0.4143,0.1551
15L27_1,2010's,LA,3,0,0,0.5092,0.4041,0.0867
15L27_2,2010's,LA,3,0,0,0.9664,0.0336,0
15L28_2,2010's,LA,3,0,0,0.5092,0.4041,0.0867
15L3_1,2010's,LA,3,0,0,0.5852,0.3676,0.0472
15L6_2,2010's,LA,3,0,0,0.5852,0.3676,0.0472
15T1_1,2010's,TX,3,0,0,0.4674,0.4117,0.1209
6_18,2000's,AR,1,1,0,0,0,0
6_2,2000's,AR,1,1,0,0,0,0
6_20,2000's,AR,1,1,0,0,0,0
6_21,2000's,AR,1,1,0,0,0,0
6_25,2000's,AR,1,1,0,0,0,0
6_27,2000's,AR,1,1,0,0,0,0
6_29,2000's,AR,1,1,0,0,0,0
6_35,2000's,AR,1,1,0,0,0,0
6_4,2000's,AR,1,1,0,0,0,0
60/1,1990's,AR,3,0,0,0.5159,0.4081,0.0761
60/1_5,1990's,AR,3,0,0,0.5159,0.4081,0.0761
75A10,1970's,AR,3,0,0,0.4585,0.4099,0.1316
75A32,1970's,AR,3,0,0,0.455,0.412,0.1329
75L14,1970's,LA,2,0,1,0,0,0
75L5,1970's,LA,2,0,1,0,0,0
75T85,1970's,TX,3,0,0,0.4626,0.4193,0.1181
76L1,1970's,LA,3,0,0,0.4948,0.3993,0.1059
77L19,1970's,LA,3,0,0,0.4585,0.4099,0.1316
78A1,1970's,AR,5,0,0,0,4e-04,0.9995
78T6,1970's,TX,1,1,0,0,0,0
79A2,1970's,AR,1,1,0,0,0,0
79T4,1970's,TX,3,0,0,0.5188,0.4183,0.0629
80F1,1980's,TX,3,0,0,0.5803,0.3633,0.0564
80T1,1980's,TX,3,0,0,0.5041,0.4163,0.0796
81L12,1980's,LA,3,0,0,0.4626,0.4193,0.1181
81L31,1980's,LA,5,0,0,1e-04,8e-04,0.9991
81T3,1980's,TX,3,0,0,0.543,0.402,0.0549
82A1,1980's,AR,3,0,0,0.4626,0.4193,0.1181
83T33,1980's,TX,3,0,0,0.4961,0.424,0.0799
85L1,1980's,LA,3,0,0,0.4961,0.424,0.0799
85M5,1980's,MS,5,0,0,0.0861,0.2125,0.7014
90A30,1990's,AR,2,0,1,0,0,0
91A31,1990's,AR,2,0,1,0,0,0
91A7,1990's,AR,2,0,1,0,0,0
91L5,1990's,LA,3,0,0,0.4777,0.4153,0.107
91T19,1990's,TX,2,0,1,0,0,0
91T20,1990's,TX,2,0,1,0,0,0
91T21,1990's,TX,2,0,1,0,0,0
91T40,1990's,TX,2,0,1,0,0,0
92A14,1990's,AR,3,0,0,0.5425,0.3852,0.0723
92A8_2,1990's,AR,2,0,1,0,0,0
92L1_2,1990's,LA,3,0,0,0.4777,0.4153,0.107
92L3_1,1990's,LA,3,0,0,0.5777,0.3557,0.0667
92M11,1990's,MS,1,1,0,0,0,0
92M14,1990's,MS,2,0,1,0,0,0
92M4,1990's,MS,2,0,1,0,0,0
92MO1_1,1990's,AR,2,0,1,0,0,0
92T10,1990's,TX,1,1,0,0,0,0
92T102_1,1990's,TX,1,1,0,0,0,0
92T14,1990's,TX,2,0,1,0,0,0
92T40,1990's,TX,2,0,1,0,0,0
92T50,1990's,TX,2,0,1,0,0,0
92T78,1990's,TX,3,0,0,0.4777,0.4153,0.107
92T81,1990's,TX,1,1,0,0,0,0
93A1,1990's,AR,2,0,1,0,0,0
93A12,1990's,AR,3,0,0,0.5894,0.3664,0.0442
93A15,1990's,AR,3,0,0,0.5159,0.4081,0.0761
93A29,1990's,AR,3,0,0,0.5083,0.4213,0.0703
93A33,1990's,LA,3,0,0,0.4867,0.4087,0.1046
93A34,1990's,LA,3,0,0,0.5031,0.3993,0.0977
93L12,1990's,LA,3,0,0,0.4656,0.4227,0.1117
93L35,1990's,LA,3,0,0,0.5257,0.3971,0.0772
93L8_1,1990's,TX,3,0,0,0.5366,0.3875,0.0759
93M17,1990's,MS,1,1,0,0,0,0
94A20,1990's,AR,3,0,0,0.4311,0.4181,0.1508
94A8_2,1990's,AR,1,1,0,0,0,0
94F14,1990's,TX,1,1,0,0,0,0
94F20,1990's,TX,1,1,0,0,0,0
94L1_2,1990's,LA,3,0,0,0.4626,0.4193,0.1181
94L2,1990's,LA,3,0,0,0.4463,0.4166,0.1371
94L36_3,1990's,LA,3,0,0,0.4777,0.4153,0.107
94M1_1,1990's,MS,1,1,0,0,0,0
94M10,1990's,MS,2,0,1,0,0,0
94T1_3,1990's,TX,1,1,0,0,0,0
94T2_2,1990's,TX,2,0,1,0,0,0
94T3_3,1990's,TX,2,0,1,0,0,0
94T5_2,1990's,TX,3,0,0,0.444,0.4153,0.1407
94T66,1990's,TX,1,1,0,0,0,0
94T72_1,1990's,TX,2,0,1,0,0,0
94T74_2,1990's,TX,2,0,1,0,0,0
94T75_4,1990's,TX,3,0,0,0.5058,0.402,0.0922
95A1,1990's,AR,3,0,0,0.5548,0.382,0.0633
95A7,1990's,AR,1,1,0,0,0,0
95A8,1990's,AR,1,1,0,0,0,0
95F10,1990's,TX,3,0,0,0.5425,0.3852,0.0723
95F12,1990's,TX,3,0,0,0.5425,0.3852,0.0723
95F2,1990's,TX,4,0,0,0.3443,0.4383,0.2173
96A12,1990's,AR,3,0,0,0.5035,0.4083,0.0882
96A13,1990's,AR,1,1,0,0,0,0
96A18,1990's,AR,3,0,0,0.382,0.3699,0.248
96A19,1990's,AR,3,0,0,0.5035,0.4083,0.0882
96A26,1990's,AR,1,1,0,0,0,0
96A33,1990's,AR,1,1,0,0,0,0
96A35,1990's,AR,3,0,0,0.5035,0.4083,0.0882
96A37,1990's,AR,1,1,0,0,0,0
96A42,1990's,AR,1,1,0,0,0,0
96A8,1990's,AR,1,1,0,0,0,0
B1,2000's,AR,1,1,0,0,0,0
B3,2000's,AR,1,1,0,0,0,0
CF2,2000's,AR,1,1,0,0,0,0
R23,2000's,AR,1,1,0,0,0,0
R30,2000's,AR,1,1,0,0,0,0
SSID_10,2010's,AR,5,0,0,0.0467,0.1216,0.8316
SSID_11,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_116,2010's,LA,3,0,0,0.4311,0.4181,0.1508
SSID_118,2010's,AR,3,0,0,0.4511,0.4133,0.1356
SSID_119,2010's,AR,3,0,0,0.4992,0.4021,0.0987
SSID_12,2010's,AR,5,0,0,0.0539,0.1473,0.7988
SSID_120,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_121,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_122,2010's,AR,3,0,0,0.5454,0.3867,0.0679
SSID_123,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_124,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_125,2010's,TX,3,0,0,0.5092,0.4041,0.0867
SSID_126,2010's,AR,5,0,0,0.0887,0.2131,0.6981
SSID_127,2010's,AR,5,0,0,0,6e-04,0.9994
SSID_128,2010's,TX,5,0,0,0.0956,0.2323,0.6721
SSID_129,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_13,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_130,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_131,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_132,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_133,2010's,LA,3,0,0,0.5922,0.36,0.0479
SSID_134,2010's,LA,3,0,0,0.9699,0.0301,0
SSID_135,2010's,AR,3,0,0,0.628,0.3374,0.0346
SSID_15,2010's,LA,3,0,0,0.5945,0.3583,0.0471
SSID_16,2010's,LA,3,0,0,0.6341,0.3267,0.0392
SSID_17,2010's,LA,3,0,0,0.7285,0.2514,0.02
SSID_18,2010's,LA,3,0,0,0.5714,0.3698,0.0588
SSID_19,2010's,LA,3,0,0,0.5092,0.4041,0.0867
SSID_20,2010's,LA,3,0,0,0.5714,0.3698,0.0588
SSID_21,2010's,LA,3,0,0,0.6361,0.3325,0.0314
SSID_22,2010's,LA,3,0,0,0.5608,0.3784,0.0608
SSID_23,2010's,AR,3,0,0,0.5035,0.4083,0.0882
SSID_24,2010's,AR,3,0,0,0.6272,0.3412,0.0316
SSID_25,2010's,AR,3,0,0,0.4311,0.4181,0.1508
SSID_26,2010's,AR,3,0,0,0.5035,0.4083,0.0882
SSID_27,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_29,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_30,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_31,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_32,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_33,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_34,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_35,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_36,2010's,LA,4,0,0,0.2496,0.3998,0.3506
SSID_37,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_38,2010's,AR,5,0,0,0.104,0.2424,0.6535
SSID_39,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_40,2010's,AR,5,0,0,0.0819,0.2137,0.7043
SSID_41,2010's,LA,3,0,0,0.5454,0.3867,0.0679
SSID_42,2010's,LA,3,0,0,0.6361,0.3325,0.0314
SSID_43,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_45,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_46,2010's,LA,3,0,0,0.6732,0.3081,0.0187
SSID_47,2010's,LA,5,0,0,0.0567,0.1561,0.7872
SSID_48,2010's,AR,5,0,0,0.0467,0.1216,0.8316
SSID_49,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_50,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_51,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_52,2010's,LA,3,0,0,0.5852,0.3676,0.0472
SSID_53,2010's,LA,3,0,0,0.5454,0.3867,0.0679
SSID_54,2010's,TX,3,0,0,0.5092,0.4041,0.0867
SSID_55,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_56,2010's,AR,5,0,0,0.0956,0.2323,0.6721
SSID_57,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_58,2010's,LA,3,0,0,0.5722,0.3698,0.058
SSID_59,2010's,AR,5,0,0,0.0819,0.2137,0.7043
SSID_60,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_61,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_62,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_63,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_65,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_66,2010's,LA,3,0,0,0.6373,0.3357,0.027
SSID_67,2010's,LA,3,0,0,0.6373,0.3357,0.027
SSID_68,2010's,AR,5,0,0,0.104,0.2424,0.6535
SSID_69,2010's,AR,5,0,0,0.0819,0.2137,0.7043
SSID_71,2010's,AR,3,0,0,0.5454,0.3867,0.0679
SSID_72,2010's,AR,3,0,0,0.5454,0.3867,0.0679
SSID_73,2010's,TX,3,0,0,0.9134,0.0845,0.0021
SSID_74,2010's,LA,3,0,0,0.5667,0.3743,0.0591
SSID_76,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_77,2010's,TX,3,0,0,0.5149,0.3927,0.0924
SSID_89,2010's,AR,3,0,0,0.5369,0.2795,0.1836
TM2,2000's,TX,1,1,0,0,0,0
ZN57,1990's,AR,3,0,0,0.4589,0.4118,0.1293
ZN61,1990's,AR,2,0,1,0,0,0
