Sample	Pita	Piks	Year	Country	State
EU055562.1_WJ1	TRUE	FALSE	NA	China	NA
EU055563.1_WJ7	TRUE	FALSE	NA	China	NA
EU055564.1_WJ22	TRUE	FALSE	NA	China	NA
EU055565.1_WJ25	TRUE	FALSE	NA	China	NA
EU055566.1_WJ32	TRUE	FALSE	NA	China	NA
EU055567.1_YC21	TRUE	FALSE	NA	China	NA
EU055568.1_YC26	TRUE	FALSE	NA	China	NA
EU055569.1_YC35	TRUE	FALSE	NA	China	NA
FJ842861.1_China20	TRUE	FALSE	1993	China	NA
FJ842862.1_92T5	TRUE	FALSE	1992	USA	NA
FJ842863.1_ZN41	TRUE	FALSE	1997	USA	NA
FJ842864.1_ZN49	TRUE	FALSE	1997	USA	NA
FJ842865.1_75A41	TRUE	FALSE	1977	USA	NA
FJ842866.1_PTR24	TRUE	FALSE	2007	USA	NA
FJ842867.1_85M5	TRUE	FALSE	1987	USA	NA
FJ842868.1_49D	TRUE	FALSE	1987	USA	NA
FJ842869.1_C12	TRUE	FALSE	2002	Colombia	NA
FJ842870.1_ZN39	TRUE	FALSE	1997	USA	NA
FJ842871.1_92M3	TRUE	FALSE	1992	USA	NA
FJ842872.1_ZN11	TRUE	FALSE	1996	USA	NA
FJ842873.1_91T59	TRUE	FALSE	1991	USA	NA
FJ842874.1_75A19	TRUE	FALSE	1975	USA	NA
FJ842875.1_A119	TRUE	FALSE	1992	USA	NA
FJ842876.1_ZN27	TRUE	FALSE	1996	USA	NA
FJ842877.1_SEF6	TRUE	FALSE	2008	USA	NA
FJ842878.1_CG3	TRUE	FALSE	2008	USA	NA
FJ842879.1_X25	TRUE	FALSE	2000	USA	NA
FJ842880.1_X54	TRUE	FALSE	2002	USA	NA
FJ842881.1_ZN04	TRUE	FALSE	1997	USA	NA
FJ842882.1_91A55	TRUE	FALSE	1992	USA	NA
FJ842883.1_93A17	TRUE	FALSE	1992	USA	NA
FJ842884.1_92A8	TRUE	FALSE	1992	USA	NA
FJ842885.1_81F3	TRUE	FALSE	1982	USA	NA
FJ842886.1_SEF9	TRUE	FALSE	2007	USA	NA
FJ842887.1_ZN25	TRUE	FALSE	1997	USA	NA
FJ842888.1_93L6	TRUE	FALSE	1992	USA	NA
FJ842889.1_ZN62	TRUE	FALSE	1992	USA	NA
FJ842890.1_RP44	TRUE	FALSE	1997	Philippines	NA
FJ842891.1_FC23	TRUE	FALSE	2002	Colombia	NA
FJ842892.1_RP9	TRUE	FALSE	1997	Philippines	NA
FJ842893.1_IN24	TRUE	FALSE	1999	India	NA
FJ842894.1_IN46	TRUE	FALSE	1999	India	NA
FJ842895.1_SEF10	TRUE	FALSE	2007	USA	NA
FJ842896.1_SEF11	TRUE	FALSE	2007	USA	NA
FJ842897.1_93L29	TRUE	FALSE	1992	USA	NA
FJ842898.1_PTR25	TRUE	FALSE	2007	USA	NA
HE578811.1_MO-EI-26	TRUE	FALSE	NA	India	NA
HE578812.1_MO-NI-028	TRUE	FALSE	NA	India	NA
HE578815.1_MO-NWI-29	TRUE	FALSE	NA	India	NA
HE578816.1_MO-NI-26	TRUE	FALSE	NA	India	NA
HE578818.1_MO-NWI-48	TRUE	FALSE	NA	India	NA
HE578821.1_MO-NWI-50	TRUE	FALSE	NA	India	NA
HE578823.1_MO-NWI-51	TRUE	FALSE	NA	India	NA
HE578825.1_MO-NWI-55	TRUE	FALSE	NA	India	NA
HE578827.1_MO-NI-027	TRUE	FALSE	NA	India	NA
HE578831.1_MO-NI-008	TRUE	FALSE	NA	India	NA
HE578832.1_MO-NWI-209	TRUE	FALSE	NA	India	NA
HE578836.1_MO-SI-12	TRUE	FALSE	NA	India	NA
HE578838.1_MO-EI-27	TRUE	FALSE	NA	India	NA
HE578840.1_MO-EI-79	TRUE	FALSE	NA	India	NA
HE578842.1_MO-NWI-16	TRUE	FALSE	NA	India	NA
HE578844.1_MO-NWI-208	TRUE	FALSE	NA	India	NA
HE578846.1_MO-NWI-54	TRUE	FALSE	NA	India	NA
HE578848.1_MO-NWI-42	TRUE	FALSE	NA	India	NA
HE578849.1_MO-SI-63	TRUE	FALSE	NA	India	NA
HE578850.1_MO-EI-3	TRUE	FALSE	NA	India	NA
HE578851.1_MO-EI-5	TRUE	FALSE	NA	India	NA
HE578852.1_MO-EI-7	TRUE	FALSE	NA	India	NA
HE578853.1_MO-EI-8	TRUE	FALSE	NA	India	NA
HE578854.1_MO-EI-11	TRUE	FALSE	NA	India	NA
HE578855.1_MO-EI-13	TRUE	FALSE	NA	India	NA
HE578856.1_MO-EI-14	TRUE	FALSE	NA	India	NA
HE578857.1_MO-EI-20	TRUE	FALSE	NA	India	NA
HE578858.1_MO-EI-22	TRUE	FALSE	NA	India	NA
HE578859.1_MO-EI-23	TRUE	FALSE	NA	India	NA
HE578860.1_MO-EI-114	TRUE	FALSE	NA	India	NA
HE578861.1_MO-NWI-31	TRUE	FALSE	NA	India	NA
HE578862.1_MO-EI-40	TRUE	FALSE	NA	India	NA
HE578863.1_MO-EI-48	TRUE	FALSE	NA	India	NA
HE578864.1_MO-NWI-60	TRUE	FALSE	NA	India	NA
HE578865.1_MO-NWI-75	TRUE	FALSE	NA	India	NA
HE578866.1_MO-NWI-85	TRUE	FALSE	NA	India	NA
HE578867.1_MO-NWI-103	TRUE	FALSE	NA	India	NA
HE578868.1_MO-NWI-204	TRUE	FALSE	NA	India	NA
HE578869.1_MO-NWI-205	TRUE	FALSE	NA	India	NA
HE578870.1_MO-NWI-46	TRUE	FALSE	NA	India	NA
HE578871.1_MO-NI-001	TRUE	FALSE	NA	India	NA
HE578873.1_MO-NI-016	TRUE	FALSE	NA	India	NA
HE578875.1_MO-NI-024	TRUE	FALSE	NA	India	NA
HE578876.1_MO-NWI-203	TRUE	FALSE	NA	India	NA
HE584697.1_MO-NI-025	TRUE	FALSE	NA	India	NA
HE650775.1_MO-EI-19	TRUE	FALSE	NA	India	NA
HE650776.1_MO-EI-21	TRUE	FALSE	NA	India	NA
HE650777.1_MO-EI-25	TRUE	FALSE	NA	India	NA
HE650778.1_MO-NWI-28	TRUE	FALSE	NA	India	NA
HE650779.1_MO-EI-28	TRUE	FALSE	NA	India	NA
HE650780.1_MO-NWI-205	TRUE	FALSE	NA	India	NA
HE650781.1_MO-NWI-46	TRUE	FALSE	NA	India	NA
HE650782.1_MO-NI-002	TRUE	FALSE	NA	India	NA
HE650783.1_MO-NI-004	TRUE	FALSE	NA	India	NA
HE650784.1_MO-NI-007	TRUE	FALSE	NA	India	NA
HE650785.1_MO-NI-010	TRUE	FALSE	NA	India	NA
HE650786.1_MO-NI-019	TRUE	FALSE	NA	India	NA
HE650788.1_MO-SI-38	TRUE	FALSE	NA	India	NA
HE650789.1_MO-SI-42	TRUE	FALSE	NA	India	NA
HE650790.1_MO-SI-47	TRUE	FALSE	NA	India	NA
HE650791.1_MO-SI-55	TRUE	FALSE	NA	India	NA
HE650792.1_MO-SI-56	TRUE	FALSE	NA	India	NA
HE650793.1_MO-SI-60	TRUE	FALSE	NA	India	NA
HE650794.1_MO-SI-62	TRUE	FALSE	NA	India	NA
HE650795.1_MO-SI-67	TRUE	FALSE	NA	India	NA
HE650796.1_MO-SI-68	TRUE	FALSE	NA	India	NA
HE650797.1_MO-SI-72	TRUE	FALSE	NA	India	NA
HE651028.1_MO-EI-24	TRUE	FALSE	NA	India	NA
HE657543.1_MO-EI-2	TRUE	FALSE	NA	India	NA
HE657544.1_MO-EI-6	TRUE	FALSE	NA	India	NA
HE657545.1_MO-EI-9	TRUE	FALSE	NA	India	NA
HE657546.1_MO-EI-10	TRUE	FALSE	NA	India	NA
HE657547.1_MO-EI-12	TRUE	FALSE	NA	India	NA
HE657548.1_MO-EI-15	TRUE	FALSE	NA	India	NA
HE657550.1_MO-EI-18	TRUE	FALSE	NA	India	NA
HE659369.1_MO-EI-4	TRUE	FALSE	NA	India	NA
IB45	FALSE	TRUE	1977	USA	NA
IB49	FALSE	TRUE	2017	USA	NA
IB54	TRUE	FALSE	2002	USA	NA
IG1	FALSE	TRUE	1977	USA	NA
IH-1	TRUE	FALSE	2002	USA	NA
IH1	FALSE	TRUE	2002	USA	NA
JN035619.1	FALSE	TRUE	NA	China	NA
JX467664-ARB90	TRUE	FALSE	2007	USA	NA
JX467665-ARB147	TRUE	FALSE	2007	USA	NA
JX467666-ARB162	TRUE	FALSE	2007	USA	NA
JX467667-ARB160	TRUE	FALSE	2007	USA	NA
KY432942.1_H	FALSE	TRUE	NA	China	NA
KY432943.1_I	FALSE	TRUE	NA	China	NA
KY432944.1_J	FALSE	TRUE	NA	China	NA
NBAHE227	FALSE	TRUE	2002	USA	NA
NBAHR2.27	TRUE	FALSE	2002	USA	NA
NBAHR227	FALSE	TRUE	2002	USA	NA
NBDREW2.05	FALSE	TRUE	2002	USA	AR
PP01031-22	TRUE	FALSE	2002	USA	NA
SEF4	TRUE	FALSE	2008	USA	AR
SEF8	TRUE	FALSE	2008	USA	AR
SRR10271354	TRUE	TRUE	2016	China	NA
SRR10271355	TRUE	TRUE	2016	China	NA
SRR10271356	TRUE	TRUE	2016	China	NA
SRR10271357	TRUE	TRUE	1982	French Guiana	NA
SRR11528297	TRUE	TRUE	2016	China	NA
SRR11528298	TRUE	TRUE	2016	China	NA
SRR11528299	TRUE	TRUE	2016	China	NA
SRR11528300	TRUE	TRUE	2016	China	NA
SRR11528301	TRUE	TRUE	2016	China	NA
SRR11528302	TRUE	TRUE	2016	China	NA
SRR11528303	TRUE	TRUE	2016	China	NA
SRR11528304	TRUE	TRUE	2016	China	NA
SRR11528305	TRUE	TRUE	2016	China	NA
SRR12887168	TRUE	TRUE	2016	Mali	NA
SRR12887169	TRUE	TRUE	2016	Mali	NA
SRR12887170	TRUE	TRUE	2016	Burkina Faso	NA
SRR12887171	TRUE	TRUE	2016	Burkina Faso	NA
SRR12887172	TRUE	TRUE	2012	Nigeria	NA
SRR12887173	TRUE	TRUE	1978	Guyana	NA
SRR12887174	TRUE	TRUE	1995	Philippines	NA
SRR12887175	TRUE	TRUE	2013	Tanzania	NA
SRR12887176	TRUE	TRUE	2017	Kenya	NA
SRR12887177	TRUE	TRUE	2017	Uganda	NA
SRR12887178	TRUE	TRUE	2013	Tanzania	NA
SRR12887179	TRUE	TRUE	2010	Ghana	NA
SRR12887180	TRUE	TRUE	2016	Burkina Faso	NA
SRR12887181	TRUE	TRUE	2012	Nigeria	NA
SRR12887182	TRUE	TRUE	2017	Tanzania	NA
SRR12887183	TRUE	TRUE	2013	Tanzania	NA
SRR12887184	TRUE	TRUE	2010	Ghana	NA
SRR12887185	TRUE	TRUE	2012	Benin	NA
SRR12887186	TRUE	TRUE	2013	Tanzania	NA
SRR12887187	TRUE	TRUE	1995	Philippines	NA
SRR12887188	TRUE	TRUE	2013	Argentina	NA
SRR12887189	TRUE	TRUE	2013	Argentina	NA
SRR12887190	TRUE	TRUE	2016	Togo	NA
SRR12887191	TRUE	TRUE	2012	Rwanda	NA
SRR12887192	TRUE	TRUE	2012	Benin	NA
SRR12887193	TRUE	TRUE	2016	Burkina Faso	NA
SRR12887194	TRUE	TRUE	2016	Benin	NA
SRR12887195	TRUE	TRUE	2015	Burundi	NA
SRR12887196	TRUE	TRUE	1995	Philippines	NA
SRR12887197	TRUE	TRUE	2017	Kenya	NA
SRR12887198	TRUE	TRUE	2016	Nigeria	NA
SRR12887199	TRUE	TRUE	2016	Nigeria	NA
SRR12887200	TRUE	TRUE	2014	Burundi	NA
SRR12887201	TRUE	TRUE	2014	Burundi	NA
SRR12887202	TRUE	TRUE	2014	Burundi	NA
SRR12887203	TRUE	TRUE	2012	Benin	NA
SRR12887204	TRUE	TRUE	2015	Uganda	NA
SRR12887205	TRUE	TRUE	2016	Uganda	NA
SRR12887206	TRUE	TRUE	2012	Rwanda	NA
SRR12887207	TRUE	TRUE	2012	Rwanda	NA
SRR12887208	TRUE	TRUE	1992	Philippines	NA
SRR12887209	TRUE	TRUE	2012	Uganda	NA
SRR12887210	TRUE	TRUE	2012	Uganda	NA
SRR12887211	TRUE	TRUE	2012	Tanzania	NA
SRR12887212	TRUE	TRUE	2017	Tanzania	NA
SRR12887213	TRUE	TRUE	2017	Tanzania	NA
SRR12887214	TRUE	TRUE	2016	Togo	NA
SRR12887215	TRUE	TRUE	2016	Togo	NA
SRR14119011	TRUE	TRUE	2013	Brazil	NA
SRR14119017	TRUE	TRUE	2006	Brazil	NA
SRR14119028	TRUE	TRUE	2006	Brazil	NA
SRR14119029	TRUE	TRUE	2007	Brazil	NA
SRR16280147	TRUE	TRUE	2008	Philippines	NA
SRR16282278	TRUE	TRUE	1978	Guyana	NA
SRR16282279	TRUE	TRUE	1981	China	NA
SRR18092169	TRUE	TRUE	2007	China	NA
SRR18092170	TRUE	TRUE	2011	China	NA
SRR18092171	TRUE	TRUE	2011	China	NA
SRR18092172	TRUE	TRUE	2008	China	NA
SRR18092173	TRUE	TRUE	2013	China	NA
SRR18092174	TRUE	TRUE	2011	China	NA
SRR18092175	TRUE	TRUE	1997	China	NA
SRR18092176	TRUE	TRUE	1995	China	NA
SRR18092177	TRUE	TRUE	2007	China	NA
SRR18092178	TRUE	TRUE	2011	China	NA
SRR18092179	TRUE	TRUE	2011	China	NA
SRR18092180	TRUE	TRUE	1995	China	NA
SRR18092181	TRUE	TRUE	2011	China	NA
SRR18092182	TRUE	TRUE	1995	China	NA
SRR18092183	TRUE	TRUE	2008	China	NA
SRR18092184	TRUE	TRUE	2013	China	NA
SRR18092185	TRUE	TRUE	2008	China	NA
SRR18092186	TRUE	TRUE	2008	China	NA
SRR18092187	TRUE	TRUE	2007	China	NA
SRR18092188	TRUE	TRUE	2011	China	NA
SRR18092189	TRUE	TRUE	2011	China	NA
SRR18092190	TRUE	TRUE	1997	China	NA
SRR18092191	TRUE	TRUE	2007	China	NA
SRR18092192	TRUE	TRUE	1996	China	NA
SRR18092193	TRUE	TRUE	2008	China	NA
SRR18092194	TRUE	TRUE	1995	China	NA
SRR18092195	TRUE	TRUE	1995	China	NA
SRR18092196	TRUE	TRUE	2011	China	NA
SRR18092197	TRUE	TRUE	2011	China	NA
SRR18092198	TRUE	TRUE	2011	China	NA
SRR18092199	TRUE	TRUE	1996	China	NA
SRR18092200	TRUE	TRUE	1995	China	NA
SRR18092201	TRUE	TRUE	1995	China	NA
SRR18092202	TRUE	TRUE	2014	China	NA
SRR18092203	TRUE	TRUE	1995	China	NA
SRR18092204	TRUE	TRUE	1994	China	NA
SRR18092205	TRUE	TRUE	2008	China	NA
SRR18092206	TRUE	TRUE	2008	China	NA
SRR18092207	TRUE	TRUE	2008	China	NA
SRR18092208	TRUE	TRUE	2008	China	NA
SRR18092209	TRUE	TRUE	2008	China	NA
SRR18092210	TRUE	TRUE	1995	China	NA
SRR18092211	TRUE	TRUE	1995	China	NA
SRR18092212	TRUE	TRUE	2011	China	NA
SRR18092213	TRUE	TRUE	2014	China	NA
SRR18092214	TRUE	TRUE	2011	China	NA
SRR18092215	TRUE	TRUE	2008	China	NA
SRR18092216	TRUE	TRUE	2008	China	NA
SRR18092217	TRUE	TRUE	1996	China	NA
SRR18092218	TRUE	TRUE	1996	China	NA
SRR18092219	TRUE	TRUE	2011	China	NA
SRR18092220	TRUE	TRUE	2008	China	NA
SRR18092221	TRUE	TRUE	2011	China	NA
SRR18092222	TRUE	TRUE	1997	China	NA
SRR18092223	TRUE	TRUE	2013	China	NA
SRR18092224	TRUE	TRUE	1997	China	NA
SRR18092225	TRUE	TRUE	1997	China	NA
SRR18092226	TRUE	TRUE	2008	China	NA
SRR18092227	TRUE	TRUE	1997	China	NA
SRR18092228	TRUE	TRUE	1997	China	NA
SRR18092229	TRUE	TRUE	1997	China	NA
SRR18092230	TRUE	TRUE	1997	China	NA
SRR18092231	TRUE	TRUE	2007	China	NA
SRR18092232	TRUE	TRUE	2007	China	NA
SRR18092233	TRUE	TRUE	2007	China	NA
SRR18092234	TRUE	TRUE	2013	China	NA
SRR18092235	TRUE	TRUE	2007	China	NA
SRR18092236	TRUE	TRUE	2007	China	NA
SRR18092237	TRUE	TRUE	2008	China	NA
SRR18092238	TRUE	TRUE	2008	China	NA
SRR18092239	TRUE	TRUE	2011	China	NA
SRR18092240	TRUE	TRUE	2011	China	NA
SRR18092241	TRUE	TRUE	2011	China	NA
SRR18092242	TRUE	TRUE	2011	China	NA
SRR18092243	TRUE	TRUE	2011	China	NA
SRR18092244	TRUE	TRUE	1995	China	NA
SRR18092245	TRUE	TRUE	2013	China	NA
SRR18092250	TRUE	TRUE	2011	China	NA
SRR18092251	TRUE	TRUE	1995	China	NA
SRR18092252	TRUE	TRUE	1995	China	NA
SRR18092253	TRUE	TRUE	2007	China	NA
SRR18092254	TRUE	TRUE	1995	China	NA
SRR18092255	TRUE	TRUE	2008	China	NA
SRR18092256	TRUE	TRUE	1995	China	NA
SRR18092257	TRUE	TRUE	1994	China	NA
SRR18092258	TRUE	TRUE	2011	China	NA
SRR18092259	TRUE	TRUE	2011	China	NA
SRR18092260	TRUE	TRUE	2014	China	NA
SRR18092261	TRUE	TRUE	2015	China	NA
SRR18092262	TRUE	TRUE	2015	China	NA
SRR18092265	TRUE	TRUE	2011	China	NA
SRR18092266	TRUE	TRUE	2011	China	NA
SRR18092267	TRUE	TRUE	1997	China	NA
SRR18092268	TRUE	TRUE	1994	China	NA
SRR18092269	TRUE	TRUE	1994	China	NA
