SRR12887186	seq00001
SRR6669160	seq00112
SRR6669163	seq00113
SRR6669164	seq00114
SRR6669167	seq00115
SRR6669172	seq00116
SRR6669179	seq00117
SRR6669180	seq00118
SRR6669181	seq00119
SRR6669185	seq00120
SRR6669189	seq00121
SRR6669194	seq00122
SRR6669196	seq00123
SRR6669197	seq00124
SRR6669198	seq00125
SRR6669199	seq00126
SRR6669201	seq00127
SRR6669202	seq00128
SRR6669203	seq00129
SRR6669204	seq00130
SRR6669206	seq00131
SRR6669211	seq00132
SRR6669213	seq00133
SRR6669214	seq00134
SRR6669216	seq00135
SRR6669218	seq00136
SRR6669219	seq00137
SRR6669220	seq00138
SRR6669221	seq00139
SRR6669224	seq00140
AB498879.1__AVR_PIK_E	seq00141
IB45	seq00142
14A308_2	seq00143
14L99_1	seq00144
14L97_1	seq00145
14L98_3	seq00146
14L95_1	seq00147
14L50_1	seq00148
14L4_1	seq00149
14L2_1	seq00150
14A2_2	seq00151
14A55_2	seq00152
14A54_2	seq00153
14A53_3	seq00154
14A15_2	seq00155
14L7_1	seq00156
14L35_2	seq00157
14L100_1	seq00158
14L21_1_REP	seq00159
14A29_3	seq00160
14A2_8	seq00161
14A11_2	seq00162
14A10_1	seq00163
13_184	seq00164
13_210	seq00165
13_182	seq00166
13_179	seq00167
13_173	seq00168
13_151	seq00169
13_116	seq00170
13_115	seq00171
13_79	seq00172
13_19	seq00173
13_43	seq00174
13_129	seq00175
SSID_69	seq00176
SSID_59	seq00177
SSID_56	seq00178
SSID_49	seq00179
SSID_38	seq00180
SSID_40	seq00181
SSID_39	seq00182
SSID_43	seq00183
SSID_26	seq00184
SSID_11	seq00185
12A27	seq00186
SSID_89	seq00187
12A12	seq00188
SSID_71	seq00189
15L15_1	seq00190
15L10_3	seq00191
15A5_2	seq00192
15A30_1	seq00193
15A16_1	seq00194
15A1_1	seq00195
14L78	seq00196
SSID13	seq00197
SSID12	seq00198
12A4	seq00199
12A16	seq00200
12A15	seq00201
13_163	seq00202
13_161	seq00203
13_113	seq00204
13_14	seq00205
13_13	seq00206
12A18	seq00207
09A15	seq00208
NBAHE227	seq00209
98A4	seq00210
94L1_2	seq00211
92L1_2	seq00212
96A19	seq00213
97A16	seq00214
96A15	seq00215
94A20	seq00216
93A34	seq00217
81L14	seq00218
85L2	seq00219
85L1	seq00220
85L11	seq00221
85T2	seq00222
83T33	seq00223
82A1	seq00224
81L31	seq00225
81L12	seq00226
IG1	seq00227
AB498876.1_AVR_PIK_A	seq00228
SRR6669212	seq00229
SRR6669210	seq00230
SRR6669209	seq00231
SRR6669195	seq00232
SRR6669191	seq00233
SRR6669190	seq00234
SRR6669188	seq00235
SRR6669187	seq00236
SRR6669182	seq00237
SRR6669159	seq00238
SRR6669155	seq00239
SRR6669147	seq00240
SRR6669144	seq00241
SRR6669139	seq00242
SRR6384797	seq00243
SRR6384788	seq00244
SRR6384779	seq00245
SRR6384778	seq00246
SRR6384777	seq00247
SRR6384771	seq00248
SRR24675060	seq00249
SRR21640535	seq00250
SRR18767170	seq00251
SRR18092276	seq00252
SRR18092275	seq00253
SRR18092252	seq00254
SRR18092251	seq00255
SRR18092238	seq00256
SRR18092229	seq00257
SRR18092226	seq00258
SRR18092225	seq00259
SRR18092216	seq00260
SRR18092215	seq00261
SRR18092214	seq00262
SRR18092212	seq00263
SRR18092208	seq00264
SRR18092206	seq00265
SRR18092204	seq00266
SRR18092201	seq00267
SRR18092200	seq00268
SRR18092199	seq00269
SRR18092196	seq00270
SRR18092195	seq00271
SRR18092192	seq00272
SRR18092187	seq00273
SRR18092181	seq00274
SRR18092178	seq00275
SRR12887210	seq00276
SRR12887200	seq00277
DRR445894	seq00278
DRR445891	seq00279
DRR413352	seq00280
DRR059892	seq00281
DRR059884	seq00282
DRR445890	seq00283
DRR445893	seq00284
SRR18092171	seq00285
SRR18092175	seq00286
SRR18092186	seq00287
SRR18092209	seq00288
SRR18092217	seq00289
SRR18092237	seq00290
SRR6669192	seq00291
AB498877.1_AVR_PIK_B	seq00292
SRR12887175	seq00293
SRR12887178	seq00294
SRR14119017	seq00295
SRR14119028	seq00296
SRR18092268	seq00297
SRR24675066	seq00298
SRR6669156	seq00299
SRR7503877	seq00300
IB49	seq00301
88A1	seq00302
91T20	seq00303
91T21	seq00304
92L5_1	seq00305
92M1_1	seq00306
92T50	seq00307
92T78	seq00308
92T93	seq00309
93L12	seq00310
94T1_3	seq00311
95T48	seq00312
95A1	seq00313
94T75	seq00314
94A8	seq00315
94M1_1	seq00316
96M9	seq00317
90A30	seq00318
91A31	seq00319
91T40	seq00320
92T40	seq00321
92A8_2	seq00322
91A25	seq00323
93A8	seq00324
93A1	seq00325
94T2_2	seq00326
97T72_1	seq00327
NBDREW2.05	seq00328
ZN04	seq00329
09A41	seq00330
09A42	seq00331
SRR6669208	seq00332
SRR18092272	seq00333
SRR6669154	seq00334
SRR18092177	seq00335
SRR18092224	seq00336
98A6	seq00337
SSID10	seq00338
SSID40	seq00339
14L21_1	seq00340
15A3_1	seq00341
SSID118	seq00342
14A1_10	seq00343
DRR413354	seq00344
DRR445896	seq00345
SRR12887174	seq00346
SRR12887185	seq00347
SRR12887193	seq00348
SRR12887195	seq00349
SRR12887196	seq00350
SRR12887204	seq00351
SRR12887212	seq00352
SRR16282279	seq00353
SRR18092197	seq00354
SRR18092219	seq00355
SRR18092221	seq00356
SRR18092234	seq00357
SRR18092243	seq00358
SRR18092261	seq00359
SRR18092262	seq00360
SRR18092265	seq00361
SRR18092271	seq00362
SRR18092286	seq00363
SRR18767171	seq00364
SRR24675059	seq00365
SRR6227418	seq00366
SRR6384780	seq00367
SRR6384789	seq00368
SRR6384792	seq00369
SRR6384805	seq00370
SRR6669138	seq00371
SRR6669142	seq00372
SRR6669146	seq00373
SRR6669161	seq00374
SRR6669162	seq00375
SRR6669165	seq00376
SRR6669166	seq00377
SRR6669168	seq00378
SRR6669169	seq00379
SRR6669170	seq00380
SRR6669175	seq00381
SRR6669177	seq00382
SRR6669178	seq00383
SRR6669184	seq00384
SRR6669193	seq00385
SRR6669200	seq00386
SRR6669205	seq00387
SRR6669207	seq00388
SRR6669215	seq00389
SRR6669217	seq00390
SRR6669222	seq00391
SRR6669223	seq00392
AB916598.1	seq00393
JN035619.1	seq00394
AB498875_AVR_PIK_D	seq00395
IH1	seq00396
68A10	seq00397
69T12	seq00398
74L2	seq00399
75A32	seq00400
75A49	seq00401
75L14	seq00402
75T85	seq00403
77L19	seq00404
78L8	seq00405
79T4	seq00406
82T11	seq00407
85A12	seq00408
82T4	seq00409
09A77	seq00410
16A4_1_2	seq00411
17A8_1_1	seq00412
KY432944.1_J	seq00413
KY432943.1_I	seq00414
74T3_6_3	seq00415
78A1	seq00416
14A30_11	seq00417
14A22_1	seq00418
14A6_1	seq00419
78T6	seq00420
79A2	seq00421
NBAHR227	seq00422
09A3	seq00423
09A17	seq00424
SRR18092255	seq00425
DRR445897	seq00426
DRR445898	seq00427
SRR10271354	seq00428
SRR10271355	seq00429
SRR10271356	seq00430
SRR10271357	seq00431
SRR11528297	seq00432
SRR11528298	seq00433
SRR11528299	seq00434
SRR11528300	seq00435
SRR11528301	seq00436
SRR11528302	seq00437
SRR11528303	seq00438
SRR11528304	seq00439
SRR11528305	seq00440
SRR12887171	seq00441
SRR12887172	seq00442
SRR12887173	seq00443
SRR12887176	seq00444
SRR12887183	seq00445
SRR12887187	seq00446
SRR12887188	seq00447
SRR12887189	seq00448
SRR12887190	seq00449
SRR12887202	seq00450
SRR12887209	seq00451
SRR12887211	seq00452
SRR12887213	seq00453
SRR12887214	seq00454
SRR14119011	seq00455
SRR16282278	seq00456
SRR18092173	seq00457
SRR18092179	seq00458
SRR18092184	seq00459
SRR18092210	seq00460
SRR18092223	seq00461
SRR18092256	seq00462
SRR18092257	seq00463
SRR18092266	seq00464
SRR18092269	seq00465
SRR18092278	seq00466
SRR18092279	seq00467
SRR18767172	seq00468
SRR18767173	seq00469
SRR20852131	seq00470
SRR20852132	seq00471
SRR20852133	seq00472
SRR24675067	seq00473
SRR3056583	seq00474
SRR6384786	seq00475
SRR6384787	seq00476
SRR6384802	seq00477
SRR6384803	seq00478
SRR6384804	seq00479
SRR6384806	seq00480
SRR6384807	seq00481
SRR6669141	seq00482
SRR6669171	seq00483
SRR6669173	seq00484
SRR6669176	seq00485
SRR6669183	seq00486
KY432942.1_H	seq00487
AB916597.1	seq00488
AB498878.1_AVR_PIK_C	seq00489
SRR12887197	seq00490
SRR6669186	seq00491
