sample,pyrm_233,pyrm_37,pyrm_409,pyrm_427,pyrm_43,pyrm_47,pyrm_607,pyrm_63,pyrm_657,pyrm_77
SRR14119011,257,203,198,209,216,189,281,161,168,207
SRR14119017,257,199,198,211,218,163,290,149,168,179
SRR14119028,257,199,243,211,220,165,290,149,168,179
SRR14119029,254,199,198,211,196,169,290,149,172,179
SRR16280147,254,199,198,219,200,165,290,149,170,179
SRR16282278,257,207,198,219,201,175,290,163,168,205
SRR16282279,272,199,168,219,212,175,287,147,170,179
SRR18092169,284,201,172,201,200,165,290,149,168,179
SRR18092170,257,201,198,211,202,165,290,147,170,179
SRR18092171,272,199,168,219,200,175,287,147,168,179
SRR18092172,272,199,168,219,200,171,284,147,168,179
SRR18092173,272,199,168,215,200,171,287,147,168,179
SRR18092174,257,201,198,211,202,165,290,147,170,179
SRR18092175,272,199,168,219,200,175,287,147,168,179
SRR18092176,257,199,198,219,200,175,290,149,170,179
SRR18092177,257,201,198,211,202,165,290,147,170,179
SRR18092178,257,201,198,219,204,165,293,163,170,179
SRR18092179,257,201,198,211,200,175,290,147,170,205
SRR18092180,257,199,198,215,200,165,290,149,170,179
SRR18092181,263,201,178,215,201,167,287,149,168,197
SRR18092182,257,199,198,217,200,165,290,149,170,179
SRR18092183,257,201,198,219,200,165,290,147,170,179
SRR18092184,272,199,168,215,218,171,287,147,168,179
SRR18092185,275,203,198,219,201,167,290,149,170,201
SRR18092186,272,199,168,215,190,175,287,147,168,179
SRR18092187,257,207,184,217,190,175,305,149,168,191
SRR18092188,272,203,198,211,200,167,290,149,170,203
SRR18092189,257,199,198,219,200,165,290,149,170,179
SRR18092190,257,199,174,213,200,165,290,149,170,179
SRR18092191,257,207,198,219,190,175,305,149,168,191
SRR18092192,263,203,198,219,201,175,290,149,170,177
SRR18092193,272,199,198,219,200,175,287,147,168,179
SRR18092194,257,199,198,219,200,165,290,149,170,179
SRR18092195,263,199,198,219,200,165,284,149,168,179
SRR18092196,257,199,198,211,202,165,284,147,168,179
SRR18092197,257,199,172,219,200,165,290,149,170,179
SRR18092198,257,199,172,211,200,165,290,149,170,179
SRR18092199,263,199,198,214,206,165,284,149,168,177
SRR18092200,263,201,198,219,201,165,299,147,168,179
SRR18092201,263,201,198,216,201,165,290,149,168,177
SRR18092202,257,199,198,217,200,165,290,149,170,185
SRR18092203,257,199,198,219,200,165,290,149,170,179
SRR18092204,263,201,198,211,201,163,293,147,170,181
SRR18092205,257,201,198,211,204,165,290,147,170,179
SRR18092206,257,201,198,211,202,165,290,147,170,179
SRR18092207,257,201,198,219,200,165,290,147,170,179
SRR18092208,257,201,206,211,202,175,290,147,170,179
SRR18092209,272,199,168,215,200,171,287,147,168,179
SRR18092210,257,199,192,217,200,165,290,149,170,179
SRR18092211,257,201,198,219,200,175,290,147,170,179
SRR18092212,257,199,198,215,200,165,290,147,168,179
SRR18092213,257,199,198,219,200,175,290,149,170,185
SRR18092214,257,201,206,219,204,165,302,159,170,179
SRR18092215,263,201,198,219,201,175,296,149,168,179
SRR18092216,272,199,168,213,200,175,287,147,168,181
SRR18092217,272,199,168,219,200,175,287,147,168,179
SRR18092218,257,199,198,219,200,165,290,149,170,179
SRR18092219,257,199,172,211,218,165,290,149,170,179
SRR18092220,257,201,198,211,202,165,290,147,170,179
SRR18092221,263,201,198,219,201,175,287,149,168,197
SRR18092222,272,199,168,219,200,175,287,147,168,179
SRR18092223,272,199,198,219,200,175,287,147,168,179
SRR18092224,284,201,198,201,201,175,290,149,168,179
SRR18092225,272,199,168,217,196,175,287,147,168,179
SRR18092226,257,201,198,213,200,165,290,147,170,179
SRR18092227,272,199,168,215,222,171,284,147,168,179
SRR18092228,257,199,174,213,200,165,290,149,170,179
SRR18092229,272,199,168,217,198,171,287,147,168,179
SRR18092230,272,199,168,215,222,171,284,147,168,179
SRR18092231,257,199,172,211,220,165,290,149,170,179
SRR18092232,257,199,172,211,216,165,290,149,170,179
SRR18092233,257,207,198,219,190,175,305,149,168,191
SRR18092234,272,199,168,211,200,171,287,147,168,179
SRR18092235,257,199,172,219,200,165,290,149,170,179
SRR18092236,257,199,198,219,200,175,290,149,170,179
SRR18092237,269,199,168,215,200,171,287,147,168,179
SRR18092238,266,201,198,219,201,175,290,149,170,183
SRR18092239,257,199,198,219,200,175,290,149,170,179
SRR18092240,257,199,172,211,200,165,290,149,170,179
SRR18092241,257,199,198,219,200,175,290,149,170,179
SRR18092242,257,199,198,219,200,175,290,149,170,179
SRR18092243,257,199,172,211,216,165,290,149,170,179
SRR18092244,257,199,198,217,200,165,290,149,170,179
SRR18092245,272,199,168,211,200,171,287,147,168,179
SRR18092250,257,201,198,219,200,165,290,147,170,179
SRR18092251,263,201,198,219,200,175,290,149,168,179
SRR18092252,257,201,198,219,201,175,290,149,168,179
SRR18092253,272,199,168,219,200,175,284,147,168,179
SRR18092254,257,199,198,219,200,175,290,149,170,179
SRR18092255,272,199,198,219,200,175,287,147,168,205
SRR18092256,257,201,198,219,200,175,293,147,170,205
SRR18092257,257,201,198,218,201,163,290,167,172,205
SRR18092258,257,199,198,219,200,165,290,149,170,179
SRR18092259,257,207,198,219,201,175,290,147,168,205
SRR18092260,272,199,168,219,200,175,287,149,168,191
SRR18092261,257,201,194,211,202,165,305,149,170,179
SRR18092262,263,209,164,204,187,175,266,149,168,163
SRR18092265,272,199,168,219,200,175,287,147,168,179
SRR18092266,272,197,168,213,220,171,287,147,168,179
SRR18092267,257,199,198,215,200,165,290,149,170,179
SRR18092268,257,207,198,219,200,175,287,165,168,203
SRR18092269,257,201,198,210,201,163,290,167,172,205
SRR18092270,257,201,198,209,200,165,290,147,170,179
SRR18092271,257,199,172,211,200,165,290,149,170,179
SRR18092272,257,201,198,219,202,165,290,147,170,179
SRR18092273,257,201,198,219,200,175,290,147,170,179
SRR18092275,257,201,198,219,200,175,290,147,170,179
SRR18092276,257,201,198,219,200,175,290,147,170,179
SRR18092277,272,199,168,219,200,175,284,147,168,179
SRR18092278,257,199,198,219,200,175,290,149,170,179
SRR18092279,257,199,198,215,214,165,290,149,170,179
SRR18092280,257,199,198,219,200,165,290,162,170,179
SRR18092281,257,201,198,211,202,165,290,147,170,179
SRR18092282,257,201,198,219,200,165,290,147,170,179
SRR18092283,257,201,198,211,202,165,299,147,170,179
SRR18092284,257,201,198,211,202,165,290,147,170,179
SRR18092285,272,199,168,217,200,173,287,149,168,191
SRR18092286,257,207,198,211,192,175,290,149,170,179
SRR18767170,263,201,198,219,201,165,299,147,168,179
SRR18767171,257,199,180,213,190,171,290,149,172,181
SRR18767172,257,201,180,210,201,163,290,167,172,205
SRR18767173,257,201,180,210,201,163,290,167,172,205
SRR20852131,257,207,198,219,201,175,290,163,168,205
SRR20852132,257,207,198,219,201,175,290,163,168,205
SRR20852133,257,207,198,219,201,175,290,163,168,205
SRR21640535,272,201,174,201,188,165,317,147,168,203
SRR21640536,272,201,174,201,188,165,317,147,168,203
SRR24675057,257,199,198,211,200,165,290,149,170,179
SRR24675058,257,199,198,215,200,169,287,149,170,179
SRR24675059,254,215,160,196,184,159,263,173,180,177
SRR24675060,257,201,172,203,202,159,284,149,170,211
SRR24675066,296,201,184,210,201,171,284,149,170,183
SRR24675067,266,202,160,219,196,163,281,151,176,147
SRR3056583,257,201,172,211,200,169,290,147,168,205
SRR3056613,257,199,174,211,200,165,290,149,170,179
SRR6227418,257,199,172,211,200,165,290,149,170,179
SRR6227419,257,199,172,213,200,165,290,149,170,179
SRR6384777,257,201,170,211,206,169,290,163,168,179
SRR6384778,257,207,198,213,224,165,287,149,170,205
SRR6384779,272,199,168,219,220,171,284,163,168,179
SRR6384780,257,201,172,213,224,167,290,147,168,205
SRR6384781,272,199,168,213,204,171,287,147,168,179
SRR6384782,257,199,198,213,212,165,290,149,168,179
SRR6384787,257,207,174,225,224,165,284,171,170,185
SRR6384790,257,199,196,213,192,167,290,149,170,179
SRR6384802,257,207,209,219,202,165,284,161,168,205
SRR6384803,257,205,198,221,224,213,284,149,168,205
SRR6669137,272,199,168,213,198,171,284,147,168,179
SRR6669138,251,199,168,217,200,173,287,147,168,179
SRR6669139,272,199,198,219,196,175,287,147,168,179
SRR6669140,251,199,168,217,200,175,287,147,168,179
SRR6669141,272,199,168,215,200,175,287,147,168,179
SRR6669142,251,199,168,217,224,177,287,147,168,179
SRR6669143,251,199,168,217,226,173,287,147,168,179
SRR6669144,251,199,168,217,200,175,287,147,168,179
SRR6669145,251,199,168,219,226,175,287,147,168,179
SRR6669146,272,199,168,215,200,175,287,147,168,179
SRR6669147,272,199,168,215,198,171,287,147,168,179
SRR6669148,251,199,168,219,200,175,287,147,168,179
SRR6669149,251,199,168,217,200,175,287,147,168,179
SRR6669150,251,199,168,217,200,185,287,147,168,179
SRR6669151,257,199,198,215,218,165,290,149,170,179
SRR6669152,257,199,198,215,192,167,290,149,170,179
SRR6669153,272,199,168,219,222,171,284,147,168,179
SRR6669154,272,199,168,215,218,171,284,147,168,179
SRR6669155,263,201,184,211,201,163,296,147,170,181
SRR6669156,272,201,182,214,202,165,287,159,168,179
SRR6669157,257,199,182,213,200,167,290,149,170,179
SRR6669158,284,197,198,219,200,175,287,147,168,179
SRR6669159,281,199,168,219,200,173,287,147,168,177
SRR6669160,272,199,198,219,200,175,287,147,168,179
SRR6669161,254,199,198,219,200,175,284,149,168,179
SRR6669162,254,199,198,219,200,175,284,149,168,179
SRR6669163,257,197,198,219,200,175,290,149,170,179
SRR6669164,272,199,168,219,200,173,287,147,168,179
SRR6669165,272,199,198,219,200,175,287,147,168,179
SRR6669166,257,199,198,219,200,175,290,149,170,179
SRR6669167,251,199,168,217,200,175,287,147,168,179
SRR6669168,272,199,168,213,198,173,284,147,168,179
SRR6669169,257,199,198,215,200,165,290,149,170,179
SRR6669170,251,197,168,217,200,173,287,147,168,179
SRR6669171,257,203,198,209,200,175,284,159,168,205
SRR6669172,257,199,198,215,200,165,290,149,170,179
SRR6669173,257,203,198,207,200,175,281,159,168,205
SRR6669174,257,199,198,219,200,165,290,149,170,179
SRR6669175,263,201,198,213,201,181,284,149,168,185
SRR6669176,257,203,198,207,188,175,284,159,168,205
SRR6669177,272,199,168,219,200,169,287,147,168,177
SRR6669178,272,199,168,215,200,173,284,147,168,177
SRR6669179,272,199,168,219,200,169,287,147,170,179
SRR6669180,272,199,168,219,211,175,287,147,170,179
SRR6669181,257,199,198,215,200,165,290,149,170,179
SRR6669182,272,199,170,219,204,167,287,147,168,179
SRR6669183,272,199,168,219,200,169,287,147,170,179
SRR6669184,272,201,168,219,200,169,287,147,168,179
SRR6669185,272,199,168,219,200,169,287,147,170,179
SRR6669186,272,199,168,213,200,175,287,147,168,179
SRR6669187,272,199,168,219,200,173,284,147,168,179
SRR6669188,263,201,184,214,200,175,287,149,166,179
SRR6669189,254,201,198,219,202,165,290,147,170,179
SRR6669190,263,201,184,219,212,175,287,149,166,179
SRR6669191,272,199,168,219,200,175,287,147,168,179
SRR6669192,272,199,168,219,200,175,287,147,168,179
SRR6669193,272,199,168,219,200,175,284,147,168,179
SRR6669194,257,199,198,213,224,165,290,149,170,181
SRR6669195,272,199,198,219,200,175,287,147,168,179
SRR6669196,257,199,198,219,200,165,290,149,170,179
SRR6669197,257,199,198,213,210,165,290,149,170,179
SRR6669198,257,199,198,219,200,167,290,149,170,179
SRR6669199,257,199,198,219,200,175,290,149,170,179
SRR6669200,257,199,198,219,200,175,290,149,170,179
SRR6669201,272,199,168,219,200,175,308,147,170,179
SRR6669202,257,199,198,217,200,165,290,149,170,179
SRR6669203,254,201,198,211,200,167,290,149,170,177
SRR6669204,260,199,198,219,200,175,290,149,170,179
SRR6669205,257,201,198,219,200,175,290,147,168,207
SRR6669206,257,201,170,219,201,165,284,149,168,179
SRR6669207,272,199,168,215,222,171,284,147,168,179
SRR6669208,263,201,190,214,212,165,281,147,170,179
SRR6669209,263,201,180,210,201,163,290,147,172,177
SRR6669210,272,199,168,215,200,171,284,147,168,179
SRR6669211,272,199,198,219,200,175,287,147,170,179
SRR6669212,263,201,198,216,201,163,290,149,168,177
SRR6669213,272,199,168,219,200,173,284,147,170,179
SRR6669214,272,199,198,219,200,175,287,147,170,179
SRR6669215,257,199,198,219,200,175,287,149,170,179
SRR6669216,257,201,198,219,192,175,290,149,170,179
SRR6669217,257,199,198,213,200,165,290,149,170,179
SRR6669218,257,199,198,219,206,165,290,149,170,179
SRR6669219,257,199,172,211,200,165,290,149,170,179
SRR6669220,257,199,198,219,200,175,290,149,170,179
SRR6669221,257,199,172,211,200,165,290,149,170,179
SRR6669222,257,199,198,219,192,165,290,149,170,179
SRR6669223,257,199,172,211,200,165,290,149,170,179
SRR6669224,257,199,198,219,200,175,287,149,170,179
SRR7503877,257,199,184,217,198,173,290,149,172,179
SRR6384768,272,199,168,213,200,173,287,147,168,179
SRR6384771,272,199,168,217,208,167,287,147,168,181
SRR6384774,257,199,194,215,212,165,290,149,170,179
SRR6384786,254,199,198,213,200,165,290,149,172,179
SRR6384788,278,199,164,213,202,165,287,147,168,205
SRR6384789,272,199,168,221,200,171,287,147,168,179
SRR6384792,245,201,198,217,200,175,287,147,168,205
SRR6384793,257,199,196,211,200,163,290,149,170,179
SRR6384795,254,199,198,209,200,163,290,149,170,179
SRR6384797,263,201,194,214,201,165,290,151,168,179
SRR6384799,257,201,174,211,210,163,290,147,168,209
SRR6384800,269,199,168,217,208,173,287,147,170,179
SRR6384801,257,199,198,211,200,163,290,149,170,179
SRR6384804,257,201,176,213,200,163,290,147,168,207
SRR6384805,272,199,168,215,200,171,284,147,168,179
SRR6384806,254,199,170,211,196,167,290,147,168,207
SRR6384807,257,201,172,211,200,165,290,147,168,205
SRR6384809,272,199,168,215,200,171,284,147,168,179
